Price,Close,High,Low,Open,Volume
Ticker,AAMI,AAMI,AAMI,AAMI,AAMI
Date,,,,,
2014-10-09,12.816004753112793,13.321295445230893,12.17290790684892,12.861940429878103,9086800
2014-10-10,12.742507934570312,12.953811695801624,12.457708317621783,12.751695245091273,1786000
2014-10-13,12.861945152282715,13.302925708380176,12.595519180602878,12.770073765020502,817700
2014-10-14,12.861945152282715,13.091622744287763,12.724138947539878,12.889506218001186,302000
2014-10-15,12.861945152282715,12.963002977350762,12.724138947539878,12.770073765020502,568900
2014-10-16,12.779260635375977,12.861944705811695,12.632267121779343,12.632267121779343,617800
2014-10-17,12.825193405151367,12.907877456747261,12.69749275360001,12.705760983529549,308200
2014-10-20,13.128371238708496,13.128371238708496,12.72413905875271,12.742512810675455,155500
2014-10-21,13.48666763305664,13.550977074397508,13.091621919333187,13.155931360674055,400500
2014-10-22,13.505041122436523,14.074641398560603,13.201866796050327,13.321299239194952,403900
2014-10-23,13.321296691894531,13.624470960307697,13.100806474166818,13.550974221065127,172600
2014-10-24,13.688783645629883,13.789842343250058,13.06406121340271,13.25699041886342,221700
2014-10-27,13.560163497924805,13.596911872872418,13.33048593546463,13.55097618515031,64400
2014-10-28,13.780653953552246,13.78984126646404,13.14674425719501,13.468292323754333,150500
2014-10-29,13.578534126281738,13.789837890774876,13.431540660277902,13.780650580112095,107200
2014-10-30,13.4407320022583,13.5326025079906,13.321299556270922,13.505041443885954,119200
2014-10-31,13.753091812133789,13.780652872556814,13.449917519029563,13.459103955070363,108700
2014-11-03,13.541787147521973,13.81740036259866,13.330484237525008,13.725528998856344,58400
2014-11-04,13.505041122436523,13.70715763207746,12.861944093015815,13.578537875733153,207100
2014-11-05,13.890897750854492,13.96439449481534,13.252394459138277,13.707155890952377,352100
2014-11-06,14.148137092590332,14.459580503228812,13.606098796647546,13.780653353620588,213800
2014-11-07,14.396188735961914,14.497246541367565,14.1113881917819,14.240007933693892,265400
2014-11-10,14.194071769714355,14.515620675561559,14.138949650863584,14.377813626134065,221900
2014-11-11,14.120573997497559,14.708548771316762,13.890896474683055,14.102200251270512,393600
2014-11-12,14.405376434326172,14.699363422406188,14.10220213383107,14.240008315455995,368900
2014-11-13,14.3226957321167,14.974979295776269,14.175702203621555,14.45131463147468,284900
2014-11-14,14.30431842803955,14.515622242849934,14.028706051726564,14.295131991339394,234700
2014-11-17,14.469683647155762,14.965787927591009,14.148134771203331,14.414560657279557,448500
2014-11-18,14.387001037597656,14.636890489748682,14.267568611060412,14.460497780674377,213500
2014-11-19,13.900086402893066,14.527565155890773,13.56016371026711,14.423750973134354,277300
2014-11-20,14.102201461791992,14.515620863115638,13.881710355089128,14.09301414981473,122600
2014-11-21,14.203258514404297,14.39618767497846,14.14813552160443,14.331878246837155,118100
2014-11-24,14.313506126403809,14.506435320709397,14.10220318205266,14.10220318205266,94400
2014-11-25,14.240006446838379,14.543180707550018,14.037889980980546,14.240006446838379,189600
2014-11-26,14.414562225341797,14.469685221214458,14.15272996628482,14.175698246294386,79600
2014-11-28,14.240006446838379,14.443960199708068,13.955205932395515,14.313503184213914,74000
2014-12-01,14.258384704589844,14.327287803928236,14.111390316210711,14.111390316210711,170200
2014-12-02,14.285942077636719,14.699361442990792,14.212445340513783,14.313503135020266,349300
2014-12-03,14.313506126403809,14.478874257565856,14.05626749271316,14.313506126403809,174600
2014-12-04,14.240006446838379,14.472440338767376,14.037889980980546,14.253787413652624,104000
2014-12-05,14.50643539428711,14.699364589571248,14.26757050943048,14.26757050943048,117000
2014-12-08,14.625866889953613,14.726925575701442,14.377814708009321,14.497247142706534,229400
2014-12-09,14.644240379333496,15.011724989461328,14.48806044950581,14.607492005935747,612800
2014-12-10,14.662615776062012,14.841764872439388,14.442125524067185,14.579931712526356,297000
2014-12-11,14.717737197875977,15.131155718892371,14.478872345770682,14.6258658313277,242700
2014-12-12,14.579930305480957,14.901478339571288,14.377813822582556,14.607491365282918,199000
2014-12-15,14.680989265441895,14.841764609378584,14.313505518630597,14.552370392133122,299800
2014-12-16,14.488059997558594,14.956602400876728,14.46968537335774,14.635053486564212,377600
2014-12-17,14.7820463180542,14.947414423904982,14.304316623885384,14.47887204142794,610900
