Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2006-03-13,18.924184799194336,19.049834336721723,18.805515939466044,18.973048212359842,40342600
2006-03-14,19.00795555114746,19.112663084369782,18.84042323170604,18.87532663039916,39821800
2006-03-15,19.098703384399414,19.161528171697718,18.854384915064735,18.987015169519882,57152000
2006-03-16,19.035873413085938,19.182463655908883,19.00097002329844,19.084736827360253,73793700
2006-03-17,19.196434020996094,19.308122257876676,19.03588234690886,19.09172646534915,120615000
2006-03-20,19.468660354614258,19.53846578683985,19.31508946886025,19.336031497956295,67094100
2006-03-21,19.36395263671875,19.699017109617134,19.32206991046342,19.36395263671875,73199600
2006-03-22,18.952112197875977,19.19643067272363,18.707793723028324,18.903248769192164,145696100
2006-03-23,18.742698669433594,18.917211689947074,18.610068401043318,18.90325032876311,73682900
2006-03-24,18.85438346862793,18.99399306080275,18.582143632172848,18.64496708322303,69157600
2006-03-27,18.85438346862793,19.056817843281376,18.847402789304923,18.85438346862793,59908600
2006-03-28,18.777591705322266,18.993987373830905,18.71476694165394,18.854377823456446,58520500
2006-03-29,18.86135482788086,18.987004330750196,18.791549400572585,18.8124914281934,53150300
2006-03-30,19.00795555114746,19.119643764108407,18.847403911444665,18.86834595066054,54612000
2006-03-31,18.993995666503906,19.22435412147967,18.993995666503906,19.056820457601184,62190500
2006-04-03,19.238304138183594,19.3569729783372,19.15453868126807,19.315090249879436,57605300
2006-04-04,19.294151306152344,19.40583948752353,19.17548244701694,19.26622992652362,45470000
2006-04-05,19.36395263671875,19.503563499473675,19.29414720534129,19.46167944179048,41539300
2006-04-06,19.238304138183594,19.349992301689582,19.105675276162692,19.30810957323182,51885500
2006-04-07,19.02190399169922,19.349987728021922,19.007942641703966,19.273202965903277,47249400
2006-04-10,19.049833297729492,19.154540796148773,18.98700853239231,19.007949233219318,39432000
2006-04-11,18.938146591186523,19.07077681889366,18.84740043418371,19.049836114969775,42953400
2006-04-12,18.98701286315918,18.98701286315918,18.826459908772314,18.917207404481637,32183000
2006-04-13,18.89626121520996,18.987008690978552,18.84739780430138,18.90324189268663,28160000
2006-04-17,18.735706329345703,18.882296536266093,18.658920222047676,18.868336515198333,35796200
2006-04-18,19.000967025756836,19.19642198344783,18.721746608646825,18.805513399493815,56272700
2006-04-19,18.86834716796875,18.980035388135363,18.81948240664583,18.924191278052056,45111100
2006-04-20,18.86834716796875,18.980035388135363,18.63799004744654,18.882307196918124,45648300
2006-04-21,18.952112197875977,19.11964452397559,18.84740466049229,18.882306729143995,58528000
2006-04-24,18.924184799194336,19.021911625525348,18.833437319234267,18.89626208799796,42318400
2006-04-25,18.924184799194336,18.993988914328973,18.861360030430642,18.91022344359615,49222500
2006-04-26,18.91720199584961,19.00794813418525,18.847396557130192,18.903240641820126,39190000
2006-04-27,19.02190399169922,19.28716298447091,18.80550839248329,18.82644908604855,96509600
2006-04-28,16.857954025268555,17.102272469692704,16.753246500923467,16.9137981270145,591052200
2006-05-01,16.955673217773438,17.45128919173337,16.81606237166849,16.97661391268979,174800900
2006-05-02,16.760221481323242,17.451292504739573,16.68343536824544,17.095285977871534,190533500
2006-05-03,16.173858642578125,16.767202879555263,16.159897288430898,16.74626084833442,211527100
2006-05-04,16.36233901977539,16.522890657946043,16.152922623900682,16.29951423415583,171257400
2006-05-05,16.613636016845703,16.718344875367137,16.418182321319705,16.515909169082704,131604300
2006-05-08,16.564767837524414,17.45129388650142,16.411196930637303,16.648534634007966,80693500
2006-05-09,16.487985610961914,16.753244733412508,16.3972381230561,16.57873176743946,75345900
2006-05-10,16.592697143554688,16.606658503757217,16.46704756458913,16.522891673970644,76563300
2006-05-11,16.208768844604492,16.606659649250656,16.15990541195374,16.550814204588445,92916700
2006-05-12,16.173858642578125,16.3134695211944,16.09009184912276,16.15291661135728,83115900
2006-05-15,16.222911834716797,16.278973680524714,16.13881973431484,16.18787368231929,67314800
2006-05-16,16.12481117248535,16.818577326822318,16.054733499632835,16.229927013453903,82095100
2006-05-17,15.928597450256348,16.173868690737812,15.928597450256348,16.040721216770034,98598300
2006-05-18,15.99867057800293,16.215910146620672,15.949616611213797,16.005678478489997,95476400
2006-05-19,15.809453010559082,16.047716156089553,15.781422759883545,15.970631964267094,100071200
2006-05-22,16.033702850341797,16.131812084478597,15.732371259879772,15.753393616993485,87322300
2006-05-23,15.970637321472168,16.384092679808784,15.956621523123104,16.194884748576808,79986300
2006-05-24,16.468185424804688,16.496217020296868,16.103782703126583,16.11079060199963,107356700
2006-05-25,16.636369705200195,16.762509201949317,16.496215748405564,16.517238106783793,83052700
2006-05-26,16.62235450744629,16.73447821156984,16.510230803322738,16.657394000372392,46861600
2006-05-30,16.222911834716797,16.650384244389567,16.215903936913328,16.503221063756385,52497500
2006-05-31,15.87252426147461,16.36306639303903,15.872524261474608,16.299996652220184,120202000
2006-06-01,15.991665840148926,16.005681643894935,15.851511812550669,15.9356039617855,80230800
2006-06-02,15.949613571166992,16.11079124178756,15.886543815425016,16.026699125211653,73935600
2006-06-05,15.767407417297363,15.928585038996568,15.760399520273092,15.921577141972296,63914100
2006-06-06,15.508124351501465,15.809457313848428,15.403008543771598,15.8024494151171,126601300
2006-06-07,15.445061683654785,15.690331547422211,15.424037979637358,15.522145925144327,73827500
2006-06-08,15.494107246398926,15.564183548512778,15.395998017523917,15.438045402735971,104126900
2006-06-09,15.360966682434082,15.550175989984911,15.33994298049942,15.522144387405362,52573800
2006-06-12,15.2138032913208,15.487106067280706,15.206796727365745,15.388996795845197,74309700
2006-06-13,15.073648452758789,15.438051242726155,15.038608951827143,15.227818246997156,113175300
2006-06-14,15.33293342590332,15.374980825237028,15.101678076048874,15.129709675604676,86081500
2006-06-15,15.466073036193848,15.508119077663215,15.276863844652352,15.424026994724478,121577300
2006-06-16,15.487096786499023,15.613236248025641,15.269857345325157,15.395995470232213,147506500
2006-06-19,15.802449226379395,15.83748871961753,15.501117604251423,15.515132064926679,129640900
2006-06-20,15.809453010559082,15.949608273795706,15.767406966235953,15.795438553531138,90598500
2006-06-21,16.173856735229492,16.22291067974159,15.788431739817517,15.844493581634163,91660300
2006-06-22,16.033702850341797,16.23692787990673,15.96362654446961,16.1598423395035,76590600
2006-06-23,15.767407417297363,16.026694260716695,15.767407417297365,16.01267846666815,60532600
2006-06-26,15.991665840148926,16.040719816639346,15.85851837780306,15.87253418154907,53644100
2006-06-27,16.019691467285156,16.229923098510692,16.005675668771424,16.040713828435642,84759100
2006-06-28,16.229923248291016,16.292993005564746,16.0547297751129,16.089767935100472,71906500
2006-06-29,16.447166442871094,16.55929018374072,16.271972930684743,16.34205060288337,121395500
2006-06-30,16.328035354614258,16.57330654731354,16.328035354614258,16.496222308240398,73048800
2006-07-03,16.608335494995117,16.622349951704585,16.4331420882404,16.489203924937126,25711400
2006-07-05,16.363067626953125,16.482199220081174,16.32802813684495,16.454167627994632,53093500
2006-07-06,16.45417022705078,16.545271579102288,16.412124168899364,16.43314786628512,44775200
2006-07-07,16.328035354614258,16.503228872739392,16.328035354614258,16.391105128068943,63168800
